Ord_No,Line_No,Line_type,Facility,Whs,GIN,GIN with Zero,Descr,Cust_nm,normalized_gin
100753508,6,1,GBB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,S.P.A. WELDING SUPPLIES LTD,0349313450
100754034,3,1,GBB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,PROWELD WELDING SUPPLIES LTD,0349313450
100748766,5,1,NOB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,"TOOLS AS, AVD GJØVIK",0349313450
100747118,5,1,CHB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,FISCH & PARTNER AG,0349313450
100762904,4,1,GBB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,DRAYTON WELDING & TOOL CONN LT,0349313450
100762938,4,1,GBB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,DRAYTON WELDING & TOOL CONN LT,0349313450
100757182,5,1,NOB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,SVEISEHUSET KRISTIANSAND AS,0349313450
100758506,3,1,ESB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,BELLACER SA,0349313450
100773679,5,1,GBB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,NEWBURY WELDING SUPPLIES LTD,0349313450
100773239,3,1,NOB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,TOOLS LØVOLD AS MO I RANA,0349313450
100778182,4,1,GBB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,ADLINGTON WELDING SUPPLIES LTD,0349313450
100781160,5,1,EEB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,ALAS-KUUL AS,0349313450
100766004,4,1,LTB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,UAB SERPANTINAS,0349313450
100765044,5,1,CDC,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,SOLDADURAS WEST ARCO SAS     (E2321),0349313450
100765003,1,1,GBB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,HIGHLAND IND SUPPLIES LTD,0349313450
100770637,3,1,LTB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,UAB SERPANTINAS,0349313450
100769461,4,1,GBB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,NEWBURY WELDING SUPPLIES LTD,0349313450
100769831,5,1,GBB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,ALLISTER MOORE WELD & ENG SUPPS LTD,0349313450
100768980,7,1,CDC,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,SOLDADURAS WEST ARCO SAS     (E2321),0349313450
100768111,4,1,GBB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,NEWBURY WELDING SUPPLIES LTD,0349313450
100745083,5,1,GBB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,GEAR-TRODES SOUTH WALES LTD,0349313450
100745202,1,1,LTB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,GITANA UAB,0349313450
100739355,3,1,GBB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,ELMDALE WELD & ENG SUPPLIES,0349313450
100732637,4,1,NOB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,SVEISEHUSET KRISTIANSAND AS,0349313450
100734224,4,1,GBB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,ARC WELDING PRODUCTS LTD,0349313450
100734507,2,1,NOB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,"TOOLS LØVOLD AS, AVD MOSJØEN",0349313450
100735493,4,0,DEB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,VSE GERMANY GMBH,0349313450
100729200,3,1,GBB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,METCONNECT LTD,0349313450
100731529,4,1,GBB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,GORDON EVANS WELDING SUPPLIES,0349313450
100716287,4,1,GBB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,STEVEWELD LTD,0349313450
100714856,3,1,LTB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,UAB SERPANTINAS,0349313450
100720405,3,1,GBB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,EXPRESS CUTT & WELD SERV LTD,0349313450
100720583,2,1,NOB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,"EIVA-SAFEX AS, AVD TRONDHEIM",0349313450
100724948,4,1,EEB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,ALAS-KUUL AS,0349313450
100724154,6,1,LVB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,BALTEXIM LV SIA,0349313450
100724107,6,1,LVB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,BALTEXIM LV SIA,0349313450
100724171,6,1,LVB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,BALTEXIM LV SIA,0349313450
100785085,3,1,NOB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,"TOOLS AS, AVD STAVANGER",0349313450
100785247,1,1,LTB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,GITANA UAB,0349313450
100784917,3,1,NOB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,TOOLS LØVOLD AS MO I RANA,0349313450
100787986,5,1,NOB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,"TESS VEST AS, AVD SVEISEHUSET BERGEN",0349313450
100789246,5,1,LTB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,RYWAL LT UAB,0349313450
100789117,5,1,CDC,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,SOLDADURAS WEST ARCO SAS     (E2321),0349313450
100792787,3,1,GBB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,OLYMPUS WELDING & INDUSTRIAL SUPPLIE,0349313450
100790217,1,1,CDC,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,CIGWELD PTY LTD (E0329),0349313450
100797848,4,1,GBB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,TRUFLAME(WELDING EQUIPT)LTD,0349313450
100794738,5,1,LTB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,RYWAL LT UAB,0349313450
100804917,4,1,GBB,CDC,349313450,0349313450,TROLLEY Warrior/Aristo 3 in 1,GEAR-TRODE (SOUTH WALES) LTD ptalbot,0349313450
